,bhk,locality,sqft,price_per_sqft,bath,Price_Lakhs,Build_year,Age
1939,2,Ravet,711,7722,,54.9,2023.0,2.0
1940,2,Wagholi,388,9793,,38.0,2017.0,-4.0
1941,2,Wagholi,392,9793,,38.39,2017.0,-4.0
1942,1,Wagholi,322,10269,,33.06,2017.0,-4.0
1943,2,Wagholi,457,9793,,44.75,2017.0,-4.0
1944,2,Wagholi,423,9793,,41.42,2017.0,-4.0
1945,2,Wagholi,390,9793,,38.19,2017.0,-4.0
1946,1,Wagholi,323,10269,,33.17,2017.0,-4.0
1947,2,Wagholi,451,9793,,44.17,2017.0,-4.0
1948,2,Wagholi,418,9793,,40.93,2017.0,-4.0
1949,2,Wagholi,452,9793,,44.26,2017.0,-4.0
1950,1,Wagholi,319,10269,,32.75,2017.0,-4.0
1951,2,Wagholi,480,9793,,47.01,2017.0,-4.0
1952,2,Wagholi,416,9793,,40.74,2017.0,-4.0
1953,1,Wagholi,315,10269,,32.34,2017.0,-4.0
1954,2,Wagholi,509,9793,,49.85,2017.0,-4.0
1955,2,Wagholi,476,9793,,46.61,2017.0,-4.0
1956,1,Wagholi,312,10269,,32.04,2017.0,-4.0
1957,2,Wagholi,409,9793,,40.05,2017.0,-4.0
1958,2,Wagholi,511,9793,,50.04,2017.0,-4.0
1959,1,Wagholi,311,10269,,31.93,2017.0,-4.0
1960,2,Wagholi,444,9793,,43.48,2017.0,-4.0
1961,2,Wagholi,439,9793,,42.99,2017.0,-4.0
1962,2,Wagholi,406,9793,,39.76,2017.0,-4.0
1963,1,Wagholi,309,10269,,31.73,2017.0,-4.0
1964,2,Wagholi,474,9793,,46.42,2017.0,-4.0
1965,1,Wagholi,307,10269,,31.52,2017.0,-4.0
1966,2,Wagholi,473,9793,,46.32,2017.0,-4.0
1967,1,Wagholi,304,10269,,31.21,2017.0,-4.0
1968,2,Wagholi,500,9793,,48.96,2017.0,-4.0
1969,2,Wagholi,467,9793,,45.73,2017.0,-4.0
1970,1,Wagholi,302,10269,,31.01,2017.0,-4.0
1971,2,Wagholi,469,9793,,45.93,2017.0,-4.0
1972,2,Wagholi,399,9793,,39.07,2017.0,-4.0
1974,3,Wakad,790,11868,,93.64,2026.0,5.0
1975,2,Wakad,634,11374,,71.99,2026.0,5.0
1976,3,Wakad,776,11870,,91.99,2026.0,5.0
1977,2,Wagholi,1100,5181,2.0,57.0,2014.0,-7.0
1982,2,Hinjewadi,1200,4437,2.0,53.24,2027.0,6.0
1983,2,Hinjewadi,1189,4466,2.0,53.1,2027.0,6.0
1984,2,Hinjewadi,1205,4438,2.0,53.48,2027.0,6.0
1985,3,Hinjewadi,1549,5318,3.0,82.38,2027.0,6.0
1986,3,Hinjewadi,1502,5479,3.0,82.3,2027.0,6.0
1987,3,Hinjewadi,1504,5378,3.0,80.9,2027.0,6.0
1988,3,Hinjewadi,1530,5483,3.0,83.89,2027.0,6.0
1989,3,Hinjewadi,1489,5612,3.0,83.56,2027.0,6.0
1990,3,Hinjewadi,1456,5720,3.0,83.29,2027.0,6.0
1991,3,Hinjewadi,1453,5705,3.0,82.9,2027.0,6.0
1992,3,Hinjewadi,1540,5238,3.0,80.67,2027.0,6.0
1993,2,Hinjewadi,980,4378,2.0,42.9,2023.0,2.0
1994,2,Hinjewadi,892,4933,2.0,44.01,2023.0,2.0
1995,2,Hinjewadi,859,5226,2.0,44.89,2023.0,2.0
1996,2,Hinjewadi,800,5445,2.0,43.56,2023.0,2.0
1998,1,Dhanori,680,4411,1.0,30.0,2009.0,-12.0
1999,2,Ravet,720,6250,2.0,45.0,2021.0,0.0
2004,1,Undri,560,5892,1.0,33.0,2014.0,-7.0
2005,1,Undri,680,4411,1.0,30.0,2014.0,-7.0
2007,3,Hadapsar,1309,8021,2.0,105.0,2014.0,-7.0
2008,2,Mahalunge,800,8125,2.0,65.0,2025.0,4.0
2009,1,Undri,700,4000,1.0,28.0,2014.0,-7.0
2011,2,Undri,850,5294,2.0,45.0,2014.0,-7.0
2012,1,Kharadi,620,6129,1.0,38.0,2023.0,2.0
2020,3,Wakad,1330,7293,3.0,97.0,2016.0,-5.0
2021,2,Tathawade,981,6696,2.0,65.69,2019.0,-2.0
2022,2,Bavdhan,690,6666,1.0,46.0,2009.0,-12.0
2024,1,Rahatani,627,6020,1.0,37.75,2008.0,-13.0
2025,2,Akurdi,1174,6388,2.0,75.0,2017.0,-4.0
2027,1,Chakan,320,5812,1.0,18.6,2017.0,-4.0
2034,2,Tathawade,1350,4370,3.0,59.0,2013.0,-8.0
2040,2,Hinjewadi,845,5207,2.0,44.0,2011.0,-10.0
2041,1,Laxminagar,645,2519,1.0,16.25,2017.0,-4.0
2048,2,NIBM Annex Mohammadwadi,679,7340,,49.84,2023.0,2.0
2049,2,Thergaon,1081,6336,2.0,68.5,2017.0,-4.0
2052,2,Dapodi,956,6276,2.0,60.0,2017.0,-4.0
2055,2,Ravet,1154,7040,2.0,81.25,2023.0,2.0
2059,2,Lohegaon,1175,4936,2.0,58.0,2017.0,-4.0
2060,3,Wakad,1140,5614,3.0,64.0,2023.0,2.0
2067,2,Charholi Budruk,1000,5380,2.0,53.8,2024.0,3.0
2068,2,Aundh,960,9895,2.0,95.0,2021.0,0.0
2070,1,Wadgaon Sheri,607,9060,1.0,55.0,2017.0,-4.0
2071,1,Bibwewadi,529,8506,1.0,45.0,1998.0,-23.0
2076,2,Wakad,1100,6818,2.0,75.0,2016.0,-5.0
2079,3,Bavdhan,1650,9090,2.0,150.0,2015.0,-6.0
2080,2,Hadapsar,917,8724,,80.0,2023.0,2.0
2081,2,Undri,605,8461,,51.1,2020.0,-1.0
2082,2,Undri,604,8457,,51.0,2020.0,-1.0
2083,2,Undri,613,8459,,51.77,2020.0,-1.0
2084,2,Undri,610,8451,,51.55,2020.0,-1.0
2085,2,Undri,640,8451,,54.09,2020.0,-1.0
2086,2,Undri,631,8461,,53.3,2020.0,-1.0
2087,2,Undri,712,8455,,60.12,2020.0,-1.0
2088,2,Undri,717,8453,,60.61,2020.0,-1.0
2089,2,Undri,616,8446,,52.03,2020.0,-1.0
2090,2,Undri,636,8449,,53.73,2020.0,-1.0
2091,2,Undri,649,8452,,54.85,2020.0,-1.0
2092,2,Undri,637,8457,,53.79,2020.0,-1.0
2093,2,Undri,619,8456,,52.26,2020.0,-1.0
2095,1,Wagholi,540,4814,1.0,26.0,2012.0,-9.0
2096,3,Hinjewadi,1323,7960,3.0,105.0,2024.0,3.0
2097,2,Hinjewadi,967,7233,2.0,69.95,2024.0,3.0
2098,1,Chikhali,555,5045,1.0,28.0,2020.0,-1.0
2099,3,Chikhali,1100,5836,3.0,64.2,2019.0,-2.0
2101,1,Undri,670,4179,1.0,28.0,2026.0,5.0
2106,3,Mundhwa,1447,7740,3.0,112.00000000000001,2018.0,-3.0
2107,3,Mundhwa,2200,4636,3.0,102.0,2015.0,-6.0
2109,2,Bavdhan,1100,7636,2.0,84.0,2011.0,-10.0
2111,2,Bavdhan,1100,7727,2.0,85.0,2026.0,5.0
2112,2,Bavdhan,1080,8148,2.0,88.0,2024.0,3.0
2115,2,Lohegaon,1115,6278,2.0,70.0,2026.0,5.0
2116,3,Baner,1587,7813,3.0,124.0,2025.0,4.0
2117,2,Baner,1179,7039,2.0,83.0,2025.0,4.0
2118,4,Kothrud,1800,11944,3.0,215.0,2023.0,2.0
2119,4,Bavdhan,1960,5102,4.0,100.0,2030.0,9.0
2120,2,Ravet,900,5555,2.0,50.0,2026.0,5.0
2121,2,Tathawade,870,7011,2.0,61.0,2021.0,0.0
